marca_tiempo,plataforma,pais_conexion,nombre_cancion,artista,album,uri_cancion,motivo_inicio,motivo_fin,modo_aleatorio,saltada,modo_offline,modo_incognito,duracion_segundos,mes_num,anio,mes_anio,hora,dia_semana
2023-12-01 16:18:53+00:00,android,ES,Un Verano Sin Ti,Bad Bunny,Un Verano Sin Ti,spotify:track:18HOjcvTVV7W8YzBuOsAPS,trackdone,unexpected-exit,True,False,False,False,30,12,2023,12-2023,16,Viernes
2023-12-01 16:22:35+00:00,android,ES,Un Verano Sin Ti,Bad Bunny,Un Verano Sin Ti,spotify:track:18HOjcvTVV7W8YzBuOsAPS,remote,trackdone,True,False,False,False,148,12,2023,12-2023,16,Viernes
2023-12-01 16:23:47+00:00,android,ES,Si por mi fuera,Beret,Prisma,spotify:track:3W87IIdSOE63W0Qyhy7r2b,trackdone,fwdbtn,True,True,False,False,71,12,2023,12-2023,16,Viernes
2023-12-01 16:27:12+00:00,android,ES,Me Rehúso,Danny Ocean,Me Rehúso,spotify:track:6De0lHrwBfPfrhorm9q1Xl,fwdbtn,trackdone,True,False,False,False,206,12,2023,12-2023,16,Viernes
2023-12-01 16:27:20+00:00,android,ES,no es q no te quiera,Candela Gómez,no es q no te quiera,spotify:track:2e5J7PKRE7cOfoQRRQh89B,trackdone,fwdbtn,True,True,False,False,7,12,2023,12-2023,16,Viernes
2023-12-01 16:30:48+00:00,android,ES,La Playa,Myke Towers,La Playa,spotify:track:0jeS8PyyIRAG0A3t5DtL71,fwdbtn,trackdone,True,False,False,False,208,12,2023,12-2023,16,Viernes
2023-12-01 16:34:00+00:00,android,ES,DECIR ADIÓS,Cosculluela,DECIR ADIÓS,spotify:track:5bFc1kju7Jo86XRSJjDJvb,trackdone,trackdone,True,False,False,False,191,12,2023,12-2023,16,Viernes
2023-12-01 16:41:56+00:00,android,ES,150 CANCIONES,Recycled J,CASANOVA,spotify:track:6Fx5b1F8B40zUFNHkAE38W,trackdone,trackdone,True,False,False,False,127,12,2023,12-2023,16,Viernes
2023-12-01 16:44:57+00:00,android,ES,506,Morat,SI AYER FUERA HOY,spotify:track:4Q1oBLFPK9R4eUHkNlihlF,trackdone,trackdone,True,False,False,False,181,12,2023,12-2023,16,Viernes
2023-12-01 16:49:00+00:00,android,ES,LA CANCIÓN,J Balvin,OASIS,spotify:track:0fea68AdmYNygeTGI4RC18,trackdone,trackdone,True,False,False,False,243,12,2023,12-2023,16,Viernes
2023-12-01 16:51:25+00:00,android,ES,Un Verano En Mallorca,Rels B,Un Verano En Mallorca,spotify:track:6XchxkE3WuUovo0O50u7SX,trackdone,trackdone,True,False,False,False,144,12,2023,12-2023,16,Viernes
